InvoiceID,Branch,City,Category,Unit_Price,Quantity,Date,Time,Payment_Method,Rating,Profit_Margin,Total_Revenue,Profit,profit_per_unit,Year,Month,DayOfWeek,Day
50,WALM021,Mcallen,Fashion accessories,82.63,10.0,2019-03-19,17:08:00,Ewallet,7.9,0.48,826.3,396.62399999999997,39.6624,2019,3,1,19
51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-02-03,10:19:00,Cash,9.5,0.33,639.8000000000001,211.13400000000004,30.162000000000006,2019,2,6,3
52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-02-10,15:10:00,Cash,8.5,0.33,222.95000000000002,73.57350000000001,14.714700000000002,2019,2,6,10
53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,14:42:00,Ewallet,6.5,0.48,71.48,34.3104,8.5776,2019,3,4,22
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,15:46:00,Credit card,6.1,0.48,15.43,7.4064,7.4064,2019,1,4,25
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-03-07,11:49:00,Ewallet,6.5,0.48,32.32,15.5136,7.7568,2019,3,3,7
56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,19:01:00,Cash,8.2,0.48,687.84,330.1632,41.2704,2019,2,3,28
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,11:26:00,Cash,5.8,0.36,88.68,31.9248,15.9624,2019,3,2,27
58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-02-07,11:28:00,Ewallet,6.6,0.33,716.8,236.54399999999998,29.567999999999998,2019,2,3,7
59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,15:55:00,Cash,5.4,0.33,723.5,238.75500000000002,23.875500000000002,2019,1,6,20
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-03-12,20:36:00,Cash,9.3,0.48,183.66,88.15679999999999,14.692799999999998,2019,3,1,12
61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,17:47:00,Credit card,10.0,0.48,74.22,35.6256,11.8752,2019,2,4,15
62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,10:55:00,Ewallet,7.0,0.33,334.38,110.3454,18.3909,2019,2,6,24
63,WALM037,League City,Sports and travel,55.07,9.0,2019-02-03,13:40:00,Ewallet,10.0,0.48,495.63,237.9024,26.4336,2019,2,6,3
64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-03-06,12:27:00,Credit card,8.6,0.33,158.1,52.173,5.2173,2019,3,2,6
65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,14:35:00,Cash,7.6,0.33,302.96,99.9768,24.9942,2019,2,3,14
66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,16:40:00,Cash,5.8,0.48,158.7,76.17599999999999,7.617599999999999,2019,3,2,13
67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-02-10,15:43:00,Ewallet,6.7,0.48,66.94,32.1312,16.0656,2019,2,6,10
68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-01-07,15:01:00,Ewallet,9.9,0.48,585.66,281.11679999999996,46.852799999999995,2019,1,0,7
69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,10:04:00,Cash,6.4,0.33,787.6999999999999,259.941,25.994099999999996,2019,1,3,24
70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,18:50:00,Cash,4.3,0.48,18.33,8.798399999999999,8.798399999999999,2019,2,5,2
71,WALM007,Arlington,Food and beverages,89.48,10.0,2019-01-06,12:46:00,Credit card,9.6,0.48,894.8000000000001,429.504,42.9504,2019,1,6,6
72,WALM017,Mckinney,Fashion accessories,62.12,10.0,2019-02-11,16:19:00,Cash,5.9,0.48,621.1999999999999,298.17599999999993,29.81759999999999,2019,2,0,11
73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-03-05,18:17:00,Ewallet,4.0,0.18,145.56,26.2008,8.733600000000001,2019,3,1,5
74,WALM083,Farmers Branch,Electronic accessories,75.91,6.0,2019-03-09,18:21:00,Cash,8.7,0.33,455.46,150.30180000000001,25.050300000000004,2019,3,5,9
75,WALM072,Lancaster,Home and lifestyle,74.67,9.0,2019-01-22,10:55:00,Ewallet,9.4,0.33,672.03,221.7699,24.6411,2019,1,1,22
76,WALM003,San Antonio,Electronic accessories,41.65,10.0,2019-01-13,17:04:00,Credit card,5.4,0.48,416.5,199.92,19.991999999999997,2019,1,6,13
77,WALM058,Port Arthur,Fashion accessories,49.04,9.0,2019-01-09,14:20:00,Credit card,8.6,0.33,441.36,145.64880000000002,16.183200000000003,2019,1,2,9
78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-01-12,15:48:00,Credit card,5.7,0.33,180.09,59.429700000000004,6.603300000000001,2019,1,5,12
79,WALM063,Georgetown,Food and beverages,78.31,10.0,2019-03-05,16:24:00,Ewallet,6.6,0.33,783.1,258.423,25.8423,2019,3,1,5
80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,18:56:00,Cash,6.0,0.33,101.89999999999999,33.626999999999995,6.725399999999999,2019,1,1,22
81,WALM061,Cedar Park,Health and beauty,99.19,6.0,2019-01-21,14:42:00,Credit card,5.5,0.33,595.14,196.3962,32.7327,2019,1,0,21
82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,19:56:00,Ewallet,6.4,0.33,290.04,95.71320000000001,31.904400000000006,2019,1,5,26
83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,18:37:00,Ewallet,6.6,0.33,154.0,50.82,6.3525,2019,1,2,23
84,WALM041,Mission,Food and beverages,80.36,4.0,2019-02-23,18:45:00,Ewallet,8.3,0.48,321.44,154.2912,38.5728,2019,2,5,23
85,WALM097,Alice,Sports and travel,48.91,5.0,2019-03-09,10:17:00,Cash,6.6,0.18,244.54999999999998,44.019,8.803799999999999,2019,3,5,9
86,WALM043,Baytown,Sports and travel,83.06,7.0,2019-03-05,14:31:00,Ewallet,4.0,0.48,581.4200000000001,279.08160000000004,39.86880000000001,2019,3,1,5
87,WALM042,Bryan,Fashion accessories,76.52,5.0,2019-03-25,10:23:00,Cash,9.9,0.48,382.59999999999997,183.64799999999997,36.72959999999999,2019,3,0,25
88,WALM046,Temple,Food and beverages,49.38,7.0,2019-03-27,20:35:00,Credit card,7.3,0.48,345.66,165.9168,23.7024,2019,3,2,27
89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-01-02,16:57:00,Cash,5.7,0.48,42.47,20.3856,20.3856,2019,1,2,2
90,WALM064,Bedford,Health and beauty,76.99,6.0,2019-02-27,17:55:00,Cash,6.1,0.33,461.93999999999994,152.44019999999998,25.406699999999997,2019,2,2,27
91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,10:25:00,Cash,7.1,0.33,189.52,62.54160000000001,15.635400000000002,2019,1,2,23
92,WALM049,North Richland Hills,Sports and travel,44.86,10.0,2019-01-26,19:54:00,Ewallet,8.2,0.48,448.6,215.328,21.5328,2019,1,5,26
93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-01-10,16:42:00,Ewallet,5.1,0.48,153.86,73.8528,10.5504,2019,1,3,10
94,WALM065,Texas City,Health and beauty,64.36,9.0,2019-03-12,12:09:00,Credit card,8.6,0.33,579.24,191.1492,21.2388,2019,3,1,12
95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-02-06,20:05:00,Credit card,6.6,0.33,89.75,29.6175,29.6175,2019,2,2,6
96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-03-08,20:38:00,Ewallet,7.2,0.48,97.16,46.636799999999994,46.636799999999994,2019,3,4,8
97,WALM014,Amarillo,Health and beauty,87.87,10.0,2019-03-29,10:25:00,Ewallet,5.1,0.48,878.7,421.776,42.1776,2019,3,4,29
98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-02-09,13:11:00,Cash,4.1,0.18,74.69999999999999,13.445999999999998,2.2409999999999997,2019,2,5,9
99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,10:16:00,Ewallet,9.3,0.48,158.25,75.96,25.319999999999997,2019,3,5,23
100,WALM011,Lubbock,Home and lifestyle,82.7,6.0,2019-03-05,18:14:00,Cash,7.4,0.48,496.20000000000005,238.17600000000002,39.696000000000005,2019,3,1,5
101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,19:20:00,Cash,4.1,0.33,48.71,16.0743,16.0743,2019,3,1,26
102,WALM057,Euless,Fashion accessories,78.55,9.0,2019-03-01,13:22:00,Cash,7.2,0.33,706.9499999999999,233.2935,25.921499999999998,2019,3,4,1
103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-02-01,11:27:00,Cash,4.9,0.48,207.63,99.66239999999999,11.073599999999999,2019,2,4,1
104,WALM012,Garland,Food and beverages,58.26,6.0,2019-03-28,16:44:00,Cash,9.9,0.48,349.56,167.7888,27.9648,2019,3,3,28
105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,18:19:00,Cash,8.0,0.33,212.45000000000002,70.1085,10.015500000000001,2019,3,1,19
106,WALM055,Waxahachie,Electronic accessories,88.67,10.0,2019-01-12,14:50:00,Ewallet,7.3,0.33,886.7,292.61100000000005,29.261100000000006,2019,1,5,12
107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-01-05,20:54:00,Credit card,7.9,0.48,164.28,78.8544,13.1424,2019,1,5,5
108,WALM049,North Richland Hills,Sports and travel,62.13,6.0,2019-03-22,20:19:00,Cash,7.4,0.48,372.78000000000003,178.9344,29.822400000000002,2019,3,4,22
109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,10:43:00,Cash,4.2,0.48,305.82,146.7936,16.3104,2019,3,6,24
110,WALM056,Rowlett,Electronic accessories,81.97,10.0,2019-03-03,14:30:00,Cash,9.2,0.33,819.7,270.50100000000003,27.050100000000004,2019,3,6,3
111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-02-05,11:32:00,Ewallet,4.6,0.48,32.98,15.830399999999997,7.915199999999999,2019,2,1,5
112,WALM025,Waco,Health and beauty,98.21,3.0,2019-02-05,10:41:00,Credit card,7.8,0.48,294.63,141.42239999999998,47.14079999999999,2019,2,1,5
113,WALM005,Fort Worth,Fashion accessories,72.84,7.0,2019-02-15,12:44:00,Cash,8.4,0.48,509.88,244.74239999999998,34.96319999999999,2019,2,4,15
114,WALM024,Carrollton,Home and lifestyle,58.07,9.0,2019-01-19,20:07:00,Ewallet,4.3,0.48,522.63,250.86239999999998,27.873599999999996,2019,1,5,19
115,WALM003,San Antonio,Home and lifestyle,80.79,9.0,2019-02-01,20:31:00,Credit card,9.5,0.36,727.11,261.7596,29.0844,2019,2,4,1
116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-03-02,13:01:00,Credit card,7.1,0.33,81.06,26.7498,8.9166,2019,3,5,2
117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-03-05,12:29:00,Ewallet,5.3,0.48,109.7,52.656,10.5312,2019,3,1,5
118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,15:26:00,Ewallet,5.2,0.33,51.36,16.948800000000002,16.948800000000002,2019,1,2,16
119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,20:48:00,Ewallet,6.0,0.48,109.60000000000001,52.608000000000004,5.260800000000001,2019,2,5,2
120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,20:38:00,Ewallet,4.1,0.33,106.88,35.2704,17.6352,2019,1,6,20
121,WALM014,Amarillo,Electronic accessories,99.56,8.0,2019-02-14,17:03:00,Credit card,5.2,0.48,796.48,382.3104,47.7888,2019,2,3,14
122,WALM069,Rockwall,Sports and travel,57.12,7.0,2019-01-12,12:02:00,Credit card,6.5,0.33,399.84,131.9472,18.849600000000002,2019,1,5,12
123,WALM085,Kerrville,Sports and travel,99.96,9.0,2019-03-09,17:26:00,Credit card,4.2,0.33,899.64,296.88120000000004,32.9868,2019,3,5,9
124,WALM061,Cedar Park,Home and lifestyle,63.91,8.0,2019-03-13,19:52:00,Credit card,4.6,0.33,511.28,168.7224,21.0903,2019,3,2,13
125,WALM088,Cleburne,Fashion accessories,56.47,8.0,2019-03-09,14:57:00,Ewallet,7.3,0.33,451.76,149.0808,18.6351,2019,3,5,9
126,WALM034,College Station,Home and lifestyle,93.69,7.0,2019-03-10,18:44:00,Credit card,4.5,0.48,655.8299999999999,314.79839999999996,44.971199999999996,2019,3,6,10
127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,13:26:00,Cash,9.0,0.48,161.25,77.39999999999999,15.479999999999999,2019,1,6,27
128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-01-08,16:17:00,Credit card,5.9,0.48,285.57,137.0736,15.2304,2019,1,1,8
129,WALM035,San Angelo,Food and beverages,68.54,8.0,2019-01-08,15:57:00,Ewallet,8.5,0.48,548.32,263.1936,32.8992,2019,1,1,8
130,WALM018,Frisco,Sports and travel,90.28,9.0,2019-02-08,11:15:00,Ewallet,7.2,0.48,812.52,390.0096,43.334399999999995,2019,2,4,8
131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,13:18:00,Cash,7.5,0.48,277.34,133.1232,19.017599999999998,2019,1,4,25
132,WALM068,Burleson,Sports and travel,92.13,6.0,2019-03-06,20:34:00,Cash,8.3,0.33,552.78,182.4174,30.4029,2019,3,2,6
133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-02-10,18:36:00,Cash,7.4,0.33,139.36,45.988800000000005,11.497200000000001,2019,2,6,10
134,WALM002,Dallas,Electronic accessories,87.45,6.0,2019-02-17,14:40:00,Credit card,8.8,0.36,524.7,188.892,31.482,2019,2,6,17
135,WALM062,Galveston,Health and beauty,81.3,6.0,2019-03-08,16:43:00,Ewallet,5.3,0.33,487.79999999999995,160.974,26.828999999999997,2019,3,4,8
136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,19:39:00,Cash,6.2,0.18,270.65999999999997,48.718799999999995,16.2396,2019,2,0,18
137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,20:59:00,Credit card,8.8,0.48,131.54999999999998,63.14399999999999,12.628799999999998,2019,1,4,18
138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,15:39:00,Cash,9.8,0.33,206.52,68.1516,11.358600000000001,2019,2,0,18
139,WALM029,Round Rock,Sports and travel,51.91,10.0,2019-02-16,12:21:00,Cash,8.2,0.48,519.0999999999999,249.16799999999995,24.916799999999995,2019,2,5,16
140,WALM016,Brownsville,Sports and travel,72.5,8.0,2019-03-16,19:25:00,Ewallet,9.2,0.48,580.0,278.4,34.8,2019,3,5,16
141,WALM023,Midland,Sports and travel,89.8,10.0,2019-01-23,13:00:00,Credit card,5.4,0.48,898.0,431.03999999999996,43.104,2019,1,2,23
142,WALM012,Garland,Health and beauty,90.5,10.0,2019-01-25,13:48:00,Cash,8.1,0.48,905.0,434.4,43.44,2019,1,4,25
143,WALM052,Mansfield,Health and beauty,68.6,10.0,2019-02-05,19:57:00,Cash,9.1,0.57,686.0,391.02,39.102,2019,2,1,5
144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,10:36:00,Credit card,8.4,0.18,30.41,5.4738,5.4738,2019,2,4,22
145,WALM045,Missouri City,Home and lifestyle,77.95,6.0,2019-01-21,16:37:00,Credit card,8.0,0.48,467.70000000000005,224.496,37.416000000000004,2019,1,0,21
146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-03-08,17:11:00,Credit card,9.5,0.48,277.56,133.2288,22.204800000000002,2019,3,4,8
147,WALM026,Denton,Fashion accessories,30.14,10.0,2019-02-10,12:28:00,Ewallet,9.2,0.48,301.4,144.672,14.4672,2019,2,6,10
148,WALM054,Sherman,Health and beauty,66.14,4.0,2019-03-19,12:46:00,Credit card,5.6,0.21,264.56,55.5576,13.8894,2019,3,1,19
149,WALM049,North Richland Hills,Home and lifestyle,71.86,8.0,2019-03-06,15:07:00,Credit card,6.2,0.48,574.88,275.94239999999996,34.492799999999995,2019,3,2,6
150,WALM065,Texas City,Health and beauty,32.46,8.0,2019-03-27,13:48:00,Credit card,4.9,0.33,259.68,85.6944,10.7118,2019,3,2,27
151,WALM016,Brownsville,Fashion accessories,91.54,4.0,2019-03-23,19:20:00,Credit card,4.8,0.48,366.16,175.7568,43.9392,2019,3,5,23
152,WALM070,Hurst,Sports and travel,34.56,7.0,2019-03-11,16:07:00,Credit card,7.3,0.33,241.92000000000002,79.8336,11.4048,2019,3,0,11
153,WALM099,Weatherford,Fashion accessories,83.24,9.0,2019-01-29,11:56:00,Credit card,7.4,0.18,749.16,134.84879999999998,14.983199999999998,2019,1,1,29
154,WALM071,Lufkin,Food and beverages,16.48,6.0,2019-02-07,18:23:00,Ewallet,9.9,0.33,98.88,32.6304,5.438400000000001,2019,2,3,7
155,WALM078,Del Rio,Sports and travel,80.97,8.0,2019-01-28,13:05:00,Cash,9.3,0.33,647.76,213.76080000000002,26.720100000000002,2019,1,0,28
156,WALM074,Weslaco,Food and beverages,92.29,5.0,2019-02-20,15:55:00,Cash,9.0,0.33,461.45000000000005,152.2785,30.4557,2019,2,2,20
157,WALM042,Bryan,Electronic accessories,72.17,1.0,2019-01-04,19:40:00,Cash,6.1,0.48,72.17,34.6416,34.6416,2019,1,4,4
158,WALM013,Irving,Home and lifestyle,50.28,5.0,2019-03-07,13:58:00,Ewallet,9.7,0.48,251.4,120.672,24.1344,2019,3,3,7
159,WALM100,Canyon,Health and beauty,97.22,9.0,2019-03-30,14:43:00,Ewallet,6.0,0.18,874.98,157.4964,17.4996,2019,3,5,30
160,WALM094,Alamo,Sports and travel,93.39,6.0,2019-03-27,19:18:00,Ewallet,10.0,0.33,560.34,184.9122,30.818700000000003,2019,3,2,27
161,WALM028,Odessa,Food and beverages,43.18,8.0,2019-01-19,19:39:00,Credit card,8.3,0.48,345.44,165.81119999999999,20.726399999999998,2019,1,5,19
162,WALM019,Pasadena,Sports and travel,63.69,1.0,2019-02-25,16:21:00,Cash,6.0,0.48,63.69,30.571199999999997,30.571199999999997,2019,2,0,25
163,WALM011,Lubbock,Food and beverages,45.79,7.0,2019-03-13,19:44:00,Credit card,7.0,0.48,320.53,153.85439999999997,21.979199999999995,2019,3,2,13
164,WALM084,Schertz,Sports and travel,76.4,2.0,2019-01-30,19:42:00,Ewallet,6.5,0.33,152.8,50.42400000000001,25.212000000000003,2019,1,2,30
165,WALM057,Euless,Food and beverages,39.9,10.0,2019-02-20,15:24:00,Credit card,5.9,0.33,399.0,131.67000000000002,13.167000000000002,2019,2,2,20
166,WALM088,Cleburne,Health and beauty,42.57,8.0,2019-02-25,14:12:00,Ewallet,5.6,0.33,340.56,112.38480000000001,14.048100000000002,2019,2,0,25
167,WALM061,Cedar Park,Home and lifestyle,95.58,10.0,2019-01-16,13:32:00,Cash,4.8,0.33,955.8,315.414,31.5414,2019,1,2,16
168,WALM040,Edinburg,Fashion accessories,98.98,10.0,2019-02-08,16:20:00,Credit card,8.7,0.48,989.8000000000001,475.10400000000004,47.510400000000004,2019,2,4,8
169,WALM069,Rockwall,Food and beverages,51.28,6.0,2019-01-19,16:31:00,Cash,6.5,0.33,307.68,101.5344,16.9224,2019,1,5,19
170,WALM089,Southlake,Sports and travel,69.52,7.0,2019-02-01,15:10:00,Credit card,8.5,0.33,486.64,160.59120000000001,22.9416,2019,2,4,1
171,WALM031,Lewisville,Health and beauty,70.01,5.0,2019-01-03,11:36:00,Ewallet,5.5,0.48,350.05,168.024,33.6048,2019,1,3,3
